SKU Code,Design No.,Stock,Category,Size,Color,Color_clean,Category_clean,Category_group,Stock_per_Category,Color_Popularity,Size_Popularity,Design No._enc,Category_group_enc,Color_clean_enc,Size_enc
BL041-65RED,BL041,30.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0010869959056487553,0.10009707690648258,0.024053500161794843,43,4,14,3
BL046-82RED,BL046,23.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0008333635276640458,0.10009707690648258,0.024053500161794843,44,4,14,3
BL050-83RED,BL050,63.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.002282691401862386,0.10009707690648258,0.024053500161794843,45,4,14,3
BL051-83BLACK,BL051,42.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.0015217942679082576,0.07108186819113364,0.024053500161794843,46,4,1,3
BL053-153GOLD,BL053,20.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.0007246639370991702,0.08639844676949628,0.024053500161794843,47,4,18,3
BL055-164GOLD,BL055,68.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.002463857386137179,0.08639844676949628,0.024053500161794843,48,4,18,3
BL056-185GOLD,BL056,23.0,Blouse,FREE SIZE,Gold,Yellow,Blouse,Western-Topwear,0.0008333635276640458,0.08639844676949628,0.024053500161794843,49,4,18,3
BL057-65BLACK,BL057,114.0,Blouse,FREE SIZE,Black,Black,Blouse,Western-Topwear,0.00413058444146527,0.07108186819113364,0.024053500161794843,50,4,1,3
BL058-65BEIGE,BL058,20.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0007246639370991702,0.022543414949843597,0.024053500161794843,51,4,0,3
#REF!,BL058,0.0,Blouse,FREE SIZE,Beige,Beige,Blouse,Western-Topwear,0.0,0.022543414949843597,0.024053500161794843,51,4,0,3
BL060-75RED,BL060,49.0,Blouse,FREE SIZE,Red,Red,Blouse,Western-Topwear,0.0017754266458929672,0.10009707690648258,0.024053500161794843,52,4,14,3
